Accession	Title	Platform	Total Bases	Date Created	FASTQ	FASTQ_FTP	FASTQ_Aspera
SRR768412	GSM840138:_CSHL_RnaSeq_GM12878_cell_total	Illumina Genome Analyzer II	2.34e+10	2011/12/05	SRR768412_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR768/SRR768412/SRR768412_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR768/SRR768412/SRR768412_1.fastq.gz
SRR768412	GSM840138:_CSHL_RnaSeq_GM12878_cell_total	Illumina Genome Analyzer II	2.34e+10	2011/12/05	SRR768412_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR768/SRR768412/SRR768412_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR768/SRR768412/SRR768412_2.fastq.gz
SRR768411	GSM840138:_CSHL_RnaSeq_GM12878_cell_total	Illumina Genome Analyzer II	2.34e+10	2011/12/05	SRR768411_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR768/SRR768411/SRR768411_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR768/SRR768411/SRR768411_1.fastq.gz
SRR768411	GSM840138:_CSHL_RnaSeq_GM12878_cell_total	Illumina Genome Analyzer II	2.34e+10	2011/12/05	SRR768411_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR768/SRR768411/SRR768411_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR768/SRR768411/SRR768411_2.fastq.gz
SRR387662	GSM840137:_CSHL_RnaSeq_K562_cytosol_longPolyA	Illumina Genome Analyzer II	3.24e+10	2011/12/05	SRR387662_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR387/SRR387662/SRR387662_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR387/SRR387662/SRR387662_1.fastq.gz
SRR387662	GSM840137:_CSHL_RnaSeq_K562_cytosol_longPolyA	Illumina Genome Analyzer II	3.24e+10	2011/12/05	SRR387662_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR387/SRR387662/SRR387662_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR387/SRR387662/SRR387662_2.fastq.gz
SRR387661	GSM840137:_CSHL_RnaSeq_K562_cytosol_longPolyA	Illumina Genome Analyzer II	3.24e+10	2011/12/05	SRR387661_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR387/SRR387661/SRR387661_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR387/SRR387661/SRR387661_1.fastq.gz
SRR387661	GSM840137:_CSHL_RnaSeq_K562_cytosol_longPolyA	Illumina Genome Analyzer II	3.24e+10	2011/12/05	SRR387661_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR387/SRR387661/SRR387661_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR387/SRR387661/SRR387661_2.fastq.gz
SRR768414	GSM840136:_CSHL_RnaSeq_K562_cell_total	Illumina Genome Analyzer II	2.04e+10	2011/12/05	SRR768414_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR768/SRR768414/SRR768414_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR768/SRR768414/SRR768414_1.fastq.gz
SRR768414	GSM840136:_CSHL_RnaSeq_K562_cell_total	Illumina Genome Analyzer II	2.04e+10	2011/12/05	SRR768414_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR768/SRR768414/SRR768414_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR768/SRR768414/SRR768414_2.fastq.gz
