Accession	Title	Platform	Total Bases	Date Created	FASTQ	FASTQ_FTP	FASTQ_Aspera
SRR3665457	16S_rRNA_gene_V4_region_Illumina_sequencing_of_baboon_vaginal_swab:_Sample_V18	Illumina HiSeq 2000	2.95e+08	2016/07/01	SRR3665457.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR366/007/SRR3665457/SRR3665457.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR366/007/SRR3665457/SRR3665457.fastq.gz
SRR3665456	16S_rRNA_gene_V4_region_Illumina_sequencing_of_baboon_vaginal_swab:_Sample_V17	Illumina HiSeq 2000	3.74e+08	2016/07/01	SRR3665456.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR366/006/SRR3665456/SRR3665456.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR366/006/SRR3665456/SRR3665456.fastq.gz
SRR3665455	16S_rRNA_gene_V4_region_Illumina_sequencing_of_baboon_vaginal_swab:_Sample_V16	Illumina HiSeq 2000	3.47e+08	2016/07/01	SRR3665455.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR366/005/SRR3665455/SRR3665455.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR366/005/SRR3665455/SRR3665455.fastq.gz
SRR3665454	16S_rRNA_gene_V4_region_Illumina_sequencing_of_baboon_vaginal_swab:_Sample_V15	Illumina HiSeq 2000	6.23e+08	2016/07/01	SRR3665454.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR366/004/SRR3665454/SRR3665454.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR366/004/SRR3665454/SRR3665454.fastq.gz
SRR3665453	16S_rRNA_gene_V4_region_Illumina_sequencing_of_baboon_vaginal_swab:_Sample_V9	Illumina HiSeq 2000	4.82e+08	2016/07/01	SRR3665453.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR366/003/SRR3665453/SRR3665453.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR366/003/SRR3665453/SRR3665453.fastq.gz
SRR3665452	16S_rRNA_gene_V4_region_Illumina_sequencing_of_baboon_vaginal_swab:_Sample_V8	Illumina HiSeq 2000	4.02e+08	2016/07/01	SRR3665452.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR366/002/SRR3665452/SRR3665452.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR366/002/SRR3665452/SRR3665452.fastq.gz
SRR3665451	16S_rRNA_gene_V4_region_Illumina_sequencing_of_baboon_vaginal_swab:_Sample_V14	Illumina HiSeq 2000	5.46e+08	2016/07/01	SRR3665451.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR366/001/SRR3665451/SRR3665451.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR366/001/SRR3665451/SRR3665451.fastq.gz
SRR3665450	16S_rRNA_gene_V4_region_Illumina_sequencing_of_baboon_vaginal_swab:_Sample_V7	Illumina HiSeq 2000	5.13e+08	2016/07/01	SRR3665450.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR366/000/SRR3665450/SRR3665450.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR366/000/SRR3665450/SRR3665450.fastq.gz
SRR3665449	16S_rRNA_gene_V4_region_Illumina_sequencing_of_baboon_vaginal_swab:_Sample_V6	Illumina HiSeq 2000	5.34e+08	2016/07/01	SRR3665449.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR366/009/SRR3665449/SRR3665449.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR366/009/SRR3665449/SRR3665449.fastq.gz
SRR3665448	16S_rRNA_gene_V4_region_Illumina_sequencing_of_baboon_vaginal_swab:_Sample_V53	Illumina HiSeq 2000	2.59e+08	2016/07/01	SRR3665448.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR366/008/SRR3665448/SRR3665448.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR366/008/SRR3665448/SRR3665448.fastq.gz
SRR3665447	16S_rRNA_gene_V4_region_Illumina_sequencing_of_baboon_vaginal_swab:_Sample_V52	Illumina HiSeq 2000	2.68e+08	2016/07/01	SRR3665447.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR366/007/SRR3665447/SRR3665447.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR366/007/SRR3665447/SRR3665447.fastq.gz
SRR3665446	16S_rRNA_gene_V4_region_Illumina_sequencing_of_baboon_vaginal_swab:_Sample_V51	Illumina HiSeq 2000	4.29e+08	2016/07/01	SRR3665446.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR366/006/SRR3665446/SRR3665446.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR366/006/SRR3665446/SRR3665446.fastq.gz
SRR3665445	16S_rRNA_gene_V4_region_Illumina_sequencing_of_baboon_vaginal_swab:_Sample_V50	Illumina HiSeq 2000	4.44e+08	2016/07/01	SRR3665445.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR366/005/SRR3665445/SRR3665445.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR366/005/SRR3665445/SRR3665445.fastq.gz
SRR3665444	16S_rRNA_gene_V4_region_Illumina_sequencing_of_baboon_vaginal_swab:_Sample_V5	Illumina HiSeq 2000	2.40e+08	2016/07/01	SRR3665444.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR366/004/SRR3665444/SRR3665444.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR366/004/SRR3665444/SRR3665444.fastq.gz
SRR3665443	16S_rRNA_gene_V4_region_Illumina_sequencing_of_baboon_vaginal_swab:_Sample_V49	Illumina HiSeq 2000	5.79e+08	2016/07/01	SRR3665443.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR366/003/SRR3665443/SRR3665443.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR366/003/SRR3665443/SRR3665443.fastq.gz
SRR3665442	16S_rRNA_gene_V4_region_Illumina_sequencing_of_baboon_vaginal_swab:_Sample_V48	Illumina HiSeq 2000	2.41e+08	2016/07/01	SRR3665442.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR366/002/SRR3665442/SRR3665442.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR366/002/SRR3665442/SRR3665442.fastq.gz
SRR3665441	16S_rRNA_gene_V4_region_Illumina_sequencing_of_baboon_vaginal_swab:_Sample_V47	Illumina HiSeq 2000	2.52e+08	2016/07/01	SRR3665441.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR366/001/SRR3665441/SRR3665441.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR366/001/SRR3665441/SRR3665441.fastq.gz
